confidence,expected_label,is_sludge,layout_category,recommendations/0,recommendations/1,summary,text_features/0/end_time,text_features/0/start_time,text_features/0/text,text_features/1/end_time,text_features/1/start_time,text_features/1/text,text_tags/0,text_tags/1,video_id,visual_features/0/end_time,visual_features/0/start_time,visual_features/0/text,visual_features/1/end_time,visual_features/1/start_time,visual_features/1/text,visual_features/2/end_time,visual_features/2/start_time,visual_features/2/text,visual_features/3/end_time,visual_features/3/start_time,visual_features/3/text,visual_tags/0,visual_tags/1,visual_tags/2,text_features/2/end_time,text_features/2/start_time,text_features/2/text,text_tags/2,visual_features/4/end_time,visual_features/4/start_time,visual_features/4/text,visual_tags/3,visual_tags/4,text_features/3/end_time,text_features/3/start_time,text_features/3/text,text_features/4/end_time,text_features/4/start_time,text_features/4/text,recommendations/2,text_tags/3,text_features/5/end_time,text_features/5/start_time,text_features/5/text,text_features/6/end_time,text_features/6/start_time,text_features/6/text,visual_features/5/end_time,visual_features/5/start_time,visual_features/5/text,text_features/7/end_time,text_features/7/start_time,text_features/7/text,visual_features/6/end_time,visual_features/6/start_time,visual_features/6/text,visual_features/7/end_time,visual_features/7/start_time,visual_features/7/text,visual_features/8/end_time,visual_features/8/start_time,visual_features/8/text,text_tags/4,text_features/8/end_time,text_features/8/start_time,text_features/8/text,text_features/9/end_time,text_features/9/start_time,text_features/9/text,text_features/10/end_time,text_features/10/start_time,text_features/10/text,text_features/11/end_time,text_features/11/start_time,text_features/11/text,text_features/12/end_time,text_features/12/start_time,text_features/12/text,text_features/13/end_time,text_features/13/start_time,text_features/13/text,text_features/14/end_time,text_features/14/start_time,text_features/14/text,text_features/15/end_time,text_features/15/start_time,text_features/15/text,text_features/16/end_time,text_features/16/start_time,text_features/16/text,text_features/17/end_time,text_features/17/start_time,text_features/17/text,text_features/18/end_time,text_features/18/start_time,text_features/18/text,text_features/19/end_time,text_features/19/start_time,text_features/19/text,text_features/20/end_time,text_features/20/start_time,text_features/20/text
0.95,SLUDGE,true,vertical,"Use a single, coherent video track.",Ensure thematic consistency between audio and video.,"Two unrelated video clips are juxtaposed vertically: a scene from a movie with dialogue between a mother, grandmother, and child, and a separate video demonstrating the fabrication of a miniature tool.",30,0,"A conversation between a mother, grandmother, and child about going to a beauty salon and getting their hair done.",155,52,A conversation between a father and son about the son's future career aspirations.,family-dialogue,career-discussion,7159964557841009926,51,0,A scene from a movie with three actors.,51,0,Close-up shots of hands assembling small metal parts using tools.,207,51,A scene from a movie with three actors in a car.,207,51,Close-up shots of hands working with various tools and materials.,movie-scene,tool-fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Maintain a single video stream or ensure both clips are thematically linked.,Avoid stacking unrelated content to prevent viewer confusion.,Two unrelated video clips play concurrently in a vertical stack: a family scene from a movie and a close-up of various metal/woodworking tasks.,60,0,"Movie dialogue: family discusses sleeping arrangements, a child asks to go to Reptile World, and a mother tucks in her daughter.",,,,movie-dialogue,,7159964879028358406,49,0,Top pane shows a family in a motel room.,60,49,Top pane shows a mother and daughter in a bedroom.,60,0,"Bottom pane shows close-ups of metal/wood cutting, gluing, and drilling.",,,,split-screen,movie-clip,DIY-montage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Remove one of the video tracks.,Ensure thematic coherence between audio and video.,Two unrelated video clips are presented in a vertical stack: a scene from a movie and a demonstration of assembling small objects.,46,0,A conversation between a mother and daughter in a hair salon.,1.58,48,A conversation between a father and two sons in a car.,movie-dialogue,unrelated,7159965442574961925,46,0,The top section shows a scene in a hair salon.,46,0,The bottom section shows close-ups of hands assembling small objects.,1.58,48,The top section shows a car interior with a father and two sons.,1.58,48,The bottom section shows close-ups of hands assembling small objects.,split-screen,unrelated,DIY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Remove one of the video clips to maintain a single coherent narrative.,Ensure the audio track matches the primary video content.,Two unrelated video clips are juxtaposed vertically: a scene from a movie and a demonstration of crafting a miniature dustpan.,2.18,0,"A child tries to sleep with his father and they have a conversation about space shuttles launching in the rain, lightning, and thunder.",,,,movie-dialogue,,7159965933597904133,2.18,0,The top section shows a scene from a movie where a child and his father are lying in bed.,2.18,0,The bottom section shows the process of making a miniature dustpan.,,,,,,,movie-scene,crafting-demonstration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,SLUDGE,true,vertical,Use a single coherent video track or relate clips thematically.,Ensure the audio is licensed or original content.,"The video features two unrelated content streams: the top pane displays scenes from a TV show with character dialogue, while the bottom pane shows various DIY and crafting activities. The audio is exclusively from the TV show, creating a disjointed and stimulating viewing experience.",3,0,Dialogue from a TV show about feeling better and the weather.,36,14,Characters discussing plans to run to the car and concerns about getting wet.,TV show dialogue,unrelated audio,7159966633711226117,134,0,The top pane shows scenes from a TV show featuring children and adults interacting.,17,0,"The bottom pane displays hands performing various DIY tasks, including cutting and drilling metal.",120,17,"The bottom pane shows the assembly of metal and plastic components using screws, welding, and rivets.",129,120,The bottom pane features the application of tape to a cylindrical object.,split-screen,DIY crafts,TV show clips,134,130,A character expressing a wish to have told their father something while he was alive.,,134,129,The bottom pane shows a small metal piece being cut with an angle grinder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,SLUDGE,true,vertical,Use a single coherent video track.,Ensure the audio content is directly related to the visual content.,"The video displays two unrelated clips: the top pane shows a scene from a TV show, while the bottom pane features a hands-on craft activity of making paper flowers.",53,0,Dialogue from a TV show about a science fair and a child's emotional reaction to not winning.,115,53,Characters discuss the child's feelings and the importance of learning from losing.,dialogue,narrative,7160978905648745733,115,0,"The top pane shows scenes from a TV show, including a science fair and characters talking in a home.",115,0,The bottom pane shows hands making paper flowers from circular and square paper cutouts.,,,,,,,TV-show,crafts-DIY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,"Remove one of the video streams to create a single, coherent piece of content.","If using a split-screen, ensure both visual elements are thematically or narratively related.","The video displays two unrelated clips in a vertical split-screen format. The top pane features a scene from a TV show with dialogue, while the bottom pane shows hands performing a paper craft activity, which is a common engagement-bait technique.",47,0,"A male character talks about losing a football game, being down 28 points at half-time, and a bad call by the ref.",50,48,A young boy responds that he didn't hear a word the man said.,dialogue,classroom discussion,7160979304514342149,133,0,"The top pane shows a scene from a TV show, featuring characters in a room or classroom setting.",133,0,"The bottom pane displays a close-up of hands performing a paper craft, cutting and gluing yellow paper shapes.",133,2,The craft involves folding and assembling paper pieces to form a flower-like object.,,,,TV show,paper craft,hands,59,55,A teacher discusses animal and plant cells.,,,,,,,110,102,The young boy is asked what he is doing and replies he is being disrespectful because he is disillusioned with the school system.,127,119,The boy is sent to the principal's office for youthful rebellion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Use a single coherent video track.,Ensure visual content is directly related to the audio narrative.,"The video displays two unrelated visual streams in a vertical split-screen format: the top pane shows scenes from a TV show with accompanying dialogue, while the bottom pane features hands performing a paper craft activity. The craft serves as engagement bait, unrelated to the audio or top visual.",5.86,4.96,A female character states that Sheldon Cooper is outside.,7.68,7.08,A male character asks who sent him now.,dialogue,speech,7160979658341666054,119,0,"The top pane shows various scenes from a TV show, featuring characters in an office and classroom setting.",119,0,The bottom pane displays hands creating paper flowers from yellow and pink paper.,119,17.5,"The paper craft involves folding, cutting, and shaping paper into flower petals.",119,0,"The craft activity is repetitive and visually stimulating, serving as engagement bait.",TV show,paper craft,split-screen,51.56,23.36,"Sheldon Cooper makes an announcement over a microphone, criticizing the school system and advocating for change.",,,,,,,52.36,51.56,Sheldon blames MTV for the focus on flash and style.,111.16,109.86,Sheldon signs off with 'Live long and prosper'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Remove one of the video clips.,Establish a clear thematic link between the two clips if both are essential.,"Two unrelated video clips are presented in a vertical stack: a family dinner scene from a TV show plays in the upper pane, while the lower pane shows a pair of hands making a paper flower.",60,0,A family converses during dinner; topics include a child's misbehavior and a subsequent visit to a doctor.,,,,dialogue,family,7160980141278055685,60,0,Top: family dinner scene from a TV show.,60,0,Bottom: hands crafting a paper flower on a blue surface.,,,,,,,split-screen,TV show,paper craft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Ensure video content is thematically related or presented as a single coherent stream.,Avoid combining unrelated content to maximize viewer engagement.,"The video displays two unrelated clips simultaneously: the top pane shows a scene from a TV show with characters conversing, while the bottom pane features a hands-on craft activity of making a paper flower. The audio exclusively corresponds to the TV show dialogue.",3.9,0,A character discusses changing his mind about being a scientist.,36.9,20,A character explains that he lost his passion for figure skating after someone skated over his foot.,dialogue,narrative,7160980725372701958,110.9,0,The top pane shows a narrative scene from a TV show with characters talking.,158.9,0,The bottom pane displays hands crafting a pink paper flower using scissors and glue.,158.9,0,The hands in the bottom pane have distinct nail art featuring flamingos and green leaves.,158.9,110.9,The TV show scene transitions from an indoor setting to an outdoor barbecue.,split-screen,crafting,TV show,102.9,57.9,A child states he plans to pursue the arts and become an actor.,discussion,,,,,,158.9,109,Adults discuss the child's decision to study acting and share anecdotes about theater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,SLUDGE,true,vertical,Use a single coherent video track or relate clips thematically.,Ensure the audio is licensed or original content.,"The video displays two unrelated visual streams vertically: a scene from a TV show featuring dialogue between two characters, and a craft tutorial showing hands making paper flowers. The audio is from the TV show.",4.99,3.49,A young boy asks an adult man if he is Mr. Lundy.,6.89,5.79,"The adult man clarifies he is Mr. Lundy, as his father is dead.",dialogue,acting discussion,7160981516191829253,6.99,0,The top pane shows a scene from a TV show with a young boy and an adult man.,45.99,0,The bottom pane shows hands making paper flowers and decorating a letter 'S' cutout.,52.99,46,The top pane shows the adult man in a mattress costume from a commercial.,132,53,The bottom pane shows hands assembling a circular cardboard frame with string.,TV show,crafts,paper flowers,13.99,8.09,"The boy asks what he should be called, and the man suggests Mr. Lundy.",,,,,,,39.99,29.89,"The boy expresses interest in becoming an actor, and the man, a professional actor, encourages him.",50.99,41.99,The man describes his role in a 'Mattress Madness' commercial and a 'Cats' production.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,SLUDGE,true,vertical,Use a single coherent video track or ensure visual content is thematically related.,Avoid combining unrelated visual content to maximize stimulation.,"The video features a vertical split-screen layout. The top pane shows scenes from a TV show where characters discuss acting and musicals, while the bottom pane displays hands performing a craft activity. The visual content of the two panes is unrelated, and the audio is solely from the TV show.",10,0,"Sheldon discusses mastering acting by watching various film genres, including silent films and modern classics.",28,22,Sheldon questions why characters in a musical are singing instead of just speaking.,dialogue,acting,7160981906840898821,131,0,The top pane displays a scene from a TV show featuring a young boy and other characters in a living room.,50,3,"The TV in the top pane shows clips of old films, including a silent film with a train, a musical, and a football game.",131,0,"The bottom pane shows hands performing a craft activity, cutting paper, gluing string, and attaching beads.",128,30,The craft activity involves measuring and cutting paper hearts and attaching them to a string with beads.,split-screen,TV show,craft,106,59,Sheldon describes an acting exercise from his book where he must convincingly look for a missing brooch.,musicals,,,,,,128,125,Sheldon's brother calls him a 'freak' after he successfully convinces him he was looking for something.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,SLUDGE,true,vertical,"Remove one of the unrelated video streams to create a single, coherent piece of content.",Ensure the audio track is directly relevant to the visual content being displayed.,"The video displays two unrelated clips: the top pane shows scenes from a TV show with dialogue and singing, while the bottom pane features a hands-only craft tutorial making paper hearts and flowers. The audio is entirely from the TV show, creating a disjointed viewing experience.",2.5,0,Characters from a TV show are heard speaking dialogue.,106.5,30.7,A child recites a monologue from King Lear.,dialogue,singing,7160982813255142662,249,0,The top pane shows scenes from a TV show featuring characters in a classroom and home setting.,249,0,"The bottom pane displays hands performing a paper craft, creating heart and flower shapes.",249,21,"The craft involves cutting, folding, and gluing white paper.",,,,tv-show,paper-craft,vertical-split,212,110,"A child sings a song, with an adult joining in.",monologue,,,,,,246,221,Characters discuss an audition and a play called 'Annie'.,241,235,An adult character makes a comment about Sandy Duncan playing Peter Pan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Use a single coherent video track or relate clips thematically.,Ensure the audio is licensed or original content.,"The video displays two unrelated clips simultaneously: the top pane shows a scene from a TV show with dialogue, while the bottom pane features a hands-on craft tutorial for making paper flowers and a hanging decoration. The audio is entirely from the TV show, indicating a lack of coherence between the visual streams.",7,0,A man and a boy discuss playing female roles in plays and historical context.,30,25,The boy questions the man's responsibility as a football coach regarding player selection.,dialogue,conversation,7160984195303558406,117,0,"The top pane shows a scene from a TV show featuring a man and a boy in a room, then a family in a car.",54,0,The bottom pane displays hands crafting paper flowers and leaves from colored paper.,117,55,The crafted paper flowers and leaves are assembled into a hanging decoration with heart shapes.,,,,TV show clip,craft tutorial,,116,55,Family members in a car discuss their excitement and reluctance about attending a play.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Use a single coherent video track or relate clips thematically.,Ensure the audio is licensed or original content.,"The video displays two unrelated clips concurrently: the top pane features a dramatic scene from a TV show with dialogue, while the bottom pane shows a hands-on craft tutorial, likely intended as engagement bait.",6,0,Dialogue from a TV show about preparing for a performance.,51,39,A character expresses stage fright and a full-blown panic attack.,dialogue,stage-fright,7160984652067425542,153,0,The top pane shows a scene from a TV show with multiple characters in an indoor setting.,8,0,"The bottom pane displays hands engaged in a craft activity, initially making paper flowers.",126,8,The craft activity transitions to wrapping yarn around a circular frame.,153,126,The craft activity then shifts to cutting and shaping paper circles.,split-screen,TV-show,craft-tutorial,60,51,"A mentor figure reassures the character, using a trapeze artist's net as a metaphor for team support.",reassurance,,,,ASMR-like,,150,144,The mentor emphasizes that the audience deserves to see the character shine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Use a single coherent video track or relate clips thematically.,Avoid combining unrelated content to maximize stimulation.,"The video displays two unrelated clips simultaneously: the top pane shows a scene from a theatrical performance or TV show with dialogue and singing, while the bottom pane features a hands-on craft tutorial involving paper and glue.",13.06,0.97,A speaker delivers a compelling speech about an eager boy taking on the role of Little Orphan Annie.,22.5,13.79,"Characters engage in dialogue, including a line about looking for a 'knuckle sandwich' and 'Pipe down, all of you. Go back to sleep.'",dialogue,singing,7160984956615822597,122,0,"The top pane shows various scenes from a play or TV show, including a boy on stage, an audience, and characters in a room setting.",28,0,"The bottom pane displays hands performing a paper craft, cutting and rolling blue and white paper to form flowers.",45,28,The craft progresses to assembling paper flowers onto a dreamcatcher-like frame made of yarn.,122,46,"The craft continues with cutting and gluing a blue paper shape, resembling a feather or leaf, with white yarn.",split-screen,craft-tutorial,theatrical-scene,107.5,46.54,A character sings a song about the sun coming out tomorrow and sticking out their chin to grin.,,,,,,,114,108,"A child mentions seeing 'his underpants,' and an adult comments that 'Theatre folk just love to show off their business.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Remove one of the video clips.,Ensure both audio and video are related and coherent.,"Two unrelated video clips are presented in a vertical stack: a scene from ""Young Sheldon"" and a DIY craft project.",60,0,"Dialogue between a mother and daughter about a magazine, followed by a discussion about a comic book.",,,,dialogue,unrelated audio,7161344014237617414,60,0,Top: Scene from TV show with actors and dialogue.,60,0,Bottom: Close-up of hands assembling small objects.,,,,,,,split-screen,unrelated visuals,DIY craft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Maintain a single video stream.,Ensure thematic coherence between stacked clips if unavoidable.,"Two unrelated video clips are presented in a vertical stack: a scene from ""Young Sheldon"" and a DIY craft project.",51,0,"Dialogue between characters in a comic book store, discussing a purchase and Sheldon's behavior.",205,118,"Conversation in a car about a comic book and its content, followed by a discussion in a kitchen about the same comic.",tv show dialogue,unrelated dialogue,7161344937361952005,110,0,"Top section displays a scene from the TV series ""Young Sheldon.""",110,0,"Bottom section shows hands assembling small metal and plastic parts, seemingly unrelated to the top video.",148,110,"Top shows a car scene with dialogue; bottom, craft work continues.",205,148,"Top displays a kitchen scene; bottom, craft work continues.",split-screen,unrelated content,young sheldon,,,,,,,,diy craft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Ensure that concurrently displayed video streams are thematically related.,Avoid using unrelated engaging visuals (like DIY crafts) solely to retain viewer attention on primary content.,"The video displays a split screen. The top pane shows clips from the TV show ""Young Sheldon,"" while the bottom pane features unrelated DIY/craft activities. The audio consists of dialogue from the TV show, which has no connection to the DIY visuals.",42.5,0,"Characters discuss hiding items, rules about comic books, and the nature of ghosts.",105.5,43.5,"A young boy asserts his intelligence and desire to be treated like an adult, leading to his mother agreeing to stop 'mommy-ing' him.",family dialogue,coming of age,7161345647734525189,153,0,"The top pane shows various scenes from a live-action TV show, featuring characters in domestic settings like a kitchen and a bedroom.",153,0,"The bottom pane displays a sequence of DIY/craft activities: making a cylindrical object from strips of material, modifying a plastic bottle with a tube, cleaning a radiator with a sponge, and modifying metal tools using a grinder and drill.",,,,,,,tv show clips,diy crafts,tool modification,133.5,107,"The boy decides to take on adult responsibilities, starting with cooking his own dinner by following a cookbook's instructions.",responsibilities,,,,,,152.5,141.5,Family members at the dinner table discuss the boy cooking for himself because he wants to be treated as an adult.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Remove one video clip to create a single coherent stream.,Ensure both audio and video content is original or appropriately licensed.,Two unrelated video clips are juxtaposed vertically: a family scene from a TV show and a close-up of hands manipulating small objects.,15,0,Family members discuss dinner and bedtime routines.,52,40,Family members discuss bedtime routines.,family-dialogue,domestic-situations,7161347255251815686,150,0,"Top: Family sits at a dinner table, then in a living room.",150,0,Bottom: Close-up of hands assembling small metal and plastic parts.,,,,,,,split-screen,unrelated-content,DIY-craft,150,124,Family members discuss chores and allowances.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,"Use a single, coherent video or establish a clear thematic link between the clips.",Ensure audio content is original or properly licensed.,"Two unrelated video clips are shown concurrently in a vertical layout. The top shows scenes from a TV series, while the bottom shows a pair of hands assembling various mechanical parts.",30,0,A young boy is making his school lunch and having a conversation with his sister and mother.,52,30,"The boy asks his mother to sign a consent form for a field trip, and she questions his maturity.",family dialogue,school interaction,7161347784329678085,113,0,Top: scenes from a TV series featuring a family in their kitchen.,113,0,Bottom: hands assembling mechanical parts using various tools.,131,114,"Top: scenes shift to a school setting, showing the boy interacting with a guidance counselor.",131,114,Bottom: the assembly process continues with different mechanical components.,split-screen,unrelated content,mechanical assembly,61,53,The boy expresses anger towards his mother and struggles to open a jar.,college discussion,,,,,,131,114,The boy declares he is ready for college and seeks advice from a guidance counselor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Avoid combining unrelated visual streams.,Ensure audio and visual content are thematically connected or part of a single narrative.,"The video displays two unrelated visual streams simultaneously in a vertical split-screen layout. The top stream features scenes from a TV show with dialogue, while the bottom stream shows a silent DIY/craft video. The audio exclusively corresponds to the TV show, creating a disjointed viewing experience characteristic of sludge content.",6.8,0.7,"A woman asks a boy about Caltech in Pasadena, and he replies he can't see himself living in California and doesn't trust their carefree lifestyle.",15.6,9.4,"The woman then suggests MIT in Boston, and the boy asks if they have a strong physics program; she says it's more of an engineering school, and he says ""Next.""",dialogue,family-conversation,7161348640659770630,121,0,"The top pane shows scenes from a TV show, primarily featuring a young boy interacting with an adult woman in an office, and later the boy at a dinner table with his family.",121,0,"The bottom pane shows a pair of hands performing various DIY tasks: winding yellow string onto a dowel with a drill, cutting and shaping a metal ring, attaching the ring to a strap, drilling holes in a metal washer, modifying a plastic bottle cap carrier, and assembling various metal and plastic components.",19,4,"DIY segment: A metal ring is cut with a grinder, sparks fly, and then it's attached to a green strap.",47,34.8,"DIY segment: A blue plastic bottle carrier handle is cut and modified, then attached to a clear plastic compartmentalized box.",tv-show-clips,diy-crafts,split-screen,31.6,19.7,"The woman suggests Harvard, and the boy considers it, mentioning he doesn't like cold weather but looks good in maroon, then decides on Harvard.",college-application,156,142.5,"DIY segment: A section of orange PVC pipe is cut, and then two pieces are joined with adhesive.",,,50,40.5,"At a dinner table, a family discusses their day. A girl mentions cutting open a frog at school. The father suggests putting a lock on the knife drawer.",112.5,53.6,A boy at the dinner table says he's eating an English muffin with ketchup and spray cheese. His mother expresses frustration after spending an hour making meatloaf. The boy then tells his grandmother he's working on his Harvard application and plans to transfer there soon.,"If using split-screen, ensure the different panes are related (e.g., different angles of the same event, a tutorial with a demonstration).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Remove one of the video tracks.,Ensure audio licensing or use original content.,"Two unrelated video clips play concurrently in a vertical stack: a scene from ""Young Sheldon"" and a DIY craft project.",50,0,"Dialogue between child actor and adult actors, job application, computer specs, negotiation.",158,51,"Brief dialogue between child and grandmother, then child and father.",tv show dialogue,unrelated,7161349574970412294,58,0,"Top: Scene from TV show ""Young Sheldon"" in Radio Shack store.",58,0,"Bottom: Hands assembling a small metal object, using tools.",158,58,"Top: Scene from TV show ""Young Sheldon"" at home.",158,58,"Bottom: Hands assembling a small metal object, using tools.",split-screen,unrelated,young sheldon,,,,,,,,diy craft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Use a single coherent video track.,"If using a split-screen, ensure the content in both panes is semantically related.","The video features a vertical split-screen layout, showing scenes from a TV show in the top pane and unrelated DIY/crafting activities in the bottom pane. The audio is entirely from the TV show, creating a disjointed viewing experience.",5,0,Characters discuss showing something and doing chores.,9,6,A character expresses concern about a heart attack.,dialogue,unrelated audio,7161350479572733189,14,0,"The top pane displays scenes from a TV show, featuring characters interacting in a home setting.",17,0,"The bottom pane shows hands performing various DIY tasks, including drilling and assembling metal parts.",36,26,The bottom pane shows hands grinding a bolt to a sharp point.,50,38,The bottom pane shows hands using a drill press to create holes in wood.,vertical split-screen,TV show,DIY craft,27,25,Characters discuss whether everything was shoved into the closet.,,113,51,The bottom pane shows hands cutting and assembling plastic tubes and metal bolts.,,,42,40,"A character states they are impressed, and another responds, 'You should be.'",138,114,Dialogue about duck hunting season and a tornado watch plays from a TV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Remove one of the video tracks.,Ensure the audio track is either original or properly licensed.,"A split-screen video combines a scene from the film ""Twister"" with a demonstration of orange and yellow slime.",2.03,0,"A conversation between a mother, her children, and their grandmother takes place during a tornado.",1.32,1.3,A child asks if they will all die if the tornado hits them.,movie dialogue,prayer,7161351965845277957,2.04,0,"The top half of the screen shows a scene from the movie ""Twister.""",2.04,0,The bottom half shows hands playing with slime.,2.04,0,"The slime is orange, yellow, and glittery.",,,,split-screen,Twister movie,slime,2.04,1.41,A mother prays for protection during the storm.,tornado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Use a single coherent video track or relate clips thematically.,Ensure the audio is licensed or original content.,"The video features a vertical split-screen layout, with the top pane showing scenes from a TV show (Young Sheldon) and the bottom pane displaying a cake decorating process. The audio corresponds solely to the TV show, making the two visual streams semantically unrelated.",10,2.9,Dialogue about a satellite going into an uncontrolled spin and needing to be fixed.,10,8,A character states that computer programs weren't designed to handle a chaotic system.,dialogue,TV show audio,7161712163516615941,10,0,The top pane shows a satellite in space and then people in a control room.,29,0,The bottom pane shows a cake being decorated with black and pink icing.,55,35,The top pane transitions to a classroom setting with a young boy.,119,59,The bottom pane shows heart-shaped brownies being cut and frosted.,TV show,cake decorating,,28,25,A character suggests extending a solar panel by one meter to save the satellite.,,151,120,The top pane shows a family sitting around a dinner table.,,,105,104,A character confirms the satellite is stable.,151,120,Family dialogue during a prayer and discussion about high school.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Maintain a single video stream or establish a clear thematic link between clips.,Ensure audio content is original or appropriately licensed.,Two unrelated video clips play concurrently in a vertical stack: a family dinner scene (top) and a baking demonstration (bottom).,32,0,A family discusses a child's pen pal and college plans.,1.06,57,"A child explains the etymology of ""chauffeur"" to his grandmother.",dialogue,etymology,7161712565830110469,56,0,Top: Family dinner scene; multiple speakers.,43,0,Bottom: Hands preparing various food items.,43,39,Bottom: Car driving on a road.,1.16,43,Bottom: Car interior; grandmother and child.,split-screen,unrelated,family,,,,unrelated,,,,baking,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,SLUDGE,true,vertical,Use a single video or relate the clips thematically.,,Two unrelated video clips are presented in a vertical stack: a movie scene and a cake-decorating demonstration.,1.55,0,"Movie dialogue between a boy and his mother, then between a teenage boy and his younger sister.",,,,movie-dialogue,,7161713368489889030,1.55,0,Top: movie scene with changing locations and characters,1.55,0,"Bottom: cake decorating process, from red velvet layers to chocolate frosting and fruit toppings",,,,,,,movie,cake-decorating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
